TIMESTAMP_LOG; TIEMPO_PLANIFICACION(s); LONGITUD_CAMINO(m); NUM_PUNTOS; DIST_MEDIA_OBST(m)
2026-01-15 21:50:48; 0.097053; 10.1137; 5; 0.4399
2026-01-15 21:50:51; 0.142169; 10.4364; 7; 0.4042
2026-01-15 21:50:55; 0.053534; 7.3003; 5; 0.4519
2026-01-15 21:50:58; 0.035828; 8.0000; 5; 0.4779
2026-01-15 21:51:02; 0.072848; 8.4294; 5; 0.5139
2026-01-15 21:51:05; 0.040276; 4.2094; 4; 0.6147
2026-01-15 21:51:09; 0.012514; 4.9285; 3; 0.6659
2026-01-15 21:51:12; 0.041457; 6.6910; 2; 0.8297
2026-01-15 21:51:16; 0.065479; 7.2317; 3; 0.4966
2026-01-15 21:51:19; 0.072759; 11.0237; 3; 0.5333
2026-01-15 21:51:23; 0.033128; 4.8841; 3; 0.7432
2026-01-15 21:51:26; 0.068951; 4.8529; 3; 0.4866
2026-01-15 21:51:30; 0.076828; 7.1579; 3; 0.5333
2026-01-15 21:51:33; 0.057835; 4.2656; 3; 0.4899
2026-01-15 21:51:37; 0.075757; 5.0537; 5; 0.4597
2026-01-15 21:51:40; 0.052325; 8.0298; 5; 0.3279
2026-01-15 21:51:44; 0.046740; 4.8468; 4; 0.5747
2026-01-15 21:51:47; 0.005663; 1.9849; 2; 0.6598
2026-01-15 21:51:51; 0.031517; 7.3768; 3; 0.5866
2026-01-15 21:51:54; 0.060874; 8.7977; 3; 0.5199
