TIMESTAMP_LOG; TIEMPO_PLANIFICACION(s); LONGITUD_CAMINO(m); NUM_PUNTOS; DIST_MEDIA_OBST(m)
2026-01-15 16:35:25; 0.012811; 12.6974; 13; 0.6043
2026-01-15 16:35:29; 0.022956; 10.3876; 10; 0.5905
2026-01-15 16:35:33; 0.058616; 12.9885; 18; 0.5020
2026-01-15 16:35:36; 0.052208; 12.1816; 17; 0.6109
2026-01-15 16:35:40; 0.003446; 5.1854; 11; 0.5889
2026-01-15 16:35:43; 0.036447; 8.2643; 11; 0.6025
2026-01-15 16:35:47; 0.048590; 15.1195; 24; 0.5864
2026-01-15 16:35:50; 0.032551; 8.9512; 7; 0.6338
2026-01-15 16:35:54; 0.026618; 7.1643; 10; 0.5468
2026-01-15 16:35:57; 0.046975; 12.7798; 14; 0.5719
2026-01-15 16:36:01; 0.044374; 10.5281; 18; 0.6065
2026-01-15 16:36:04; 0.019762; 10.5332; 13; 0.7322
2026-01-15 16:36:08; 0.036574; 9.4528; 13; 0.7173
2026-01-15 16:36:11; 0.007560; 0.6000; 3; 1.1199
2026-01-15 16:36:15; 0.019903; 9.1765; 12; 0.5114
2026-01-15 16:36:18; 0.045007; 11.3686; 23; 0.6986
2026-01-15 16:36:22; 0.043326; 8.5436; 19; 0.5682
2026-01-15 16:36:25; 0.046959; 13.6750; 24; 0.5401
2026-01-15 16:36:29; 0.028638; 10.7111; 14; 0.5669
2026-01-15 16:36:32; 0.041627; 7.6896; 8; 0.6059
